Sl No,Organisation Name ,InstituteName,InstituteAddress,InstituteCode/A ffiliation No,School Type,PhoneNumber,
269,SRI CHAITANYA TECHNO SCHOOL,SRI CHAITANYA TECHNO SCHOOL(K R PURAM),"SHARMANNA GARDEN, DEVASANDRA MAIN ROAD, K R PURAM BANGALORE ,560036",830570,,Secondary School,080 65469742
270,SRI CHAITANYA TECHNO SCHOOL,Sri Chaitanya Techno School(Doddabettahalli),"13/1, Ambabhavani Temple Road, Doddabettahalli Vidyaranyapura Post, ,560097",830682,,Secondary School,91 9243601142
271,SRI CHAITANYA TECHNO SCHOOL,Sri Chaitanya Techno School(HSR Layout),"Sy no: 55/2, 19th main 27th cross Sector 2 HSR Layout Bangalore - 560102 ,560102",830714,,Secondary School,0-8861004640
272,SRI CHAITANYA TECHNO SCHOOL,SRI CHAITANYA TECHNO SCHOOL(HULIMAVU),"PLOT NO.75/A, HULIMAVU, BANNERGHATTA MAINROAD, BENGALURU-560076 ,560076",830583,,Secondary School,080 64510262
273,SRI CHAITANYA TECHNO SCHOOL,sri chaitanya techno school(jambo savari dinne),"kothanur dinne main road, jambo savari dinne j p nagar 8th phase
,560062",830504,,Secondary School,080 65469749
274,SRI CHAITANYA TECHNO SCHOOL,SRI CHAITANYA TECHNO SCHOOL(JNANAGANA NAGAR),"PLOT NO.42/6,JNANAGANA NAGAR,OPP:BANGALORE UNIVERSITY STAFF QUARTERS,MYSORE RINGROAD,BANGALORE
,560056",830571,,Secondary School,"080
9243689247"
275,SRI CHAITANYA TECHNO SCHOOL,"SRI CHAITANYA TECHNO SCHOOL(MARUTHI LAYOUT
Kudlu)","MARUTHI LAYOUT, NEAR SHIVA TEMPLE, KUDLU, SINGHA SANDRA POST, ANEKAL TALUK, BENGALORE
,560068",830449,,Secondary School,080 64552081
276,SRI CHAITANYA TECHNO SCHOOL,"SRI CHAITANYA TECHNO SCHOOL(MUNNEKOLALA, MARATHAHALLI)","MUNNEKOLALA, MARATHAHALLI, BANGALORE ,560037",830453,,Secondary School,080 64552084
277,SRI CHAITANYA TECHNO SCHOOL,SRI CHAITANYA TECHNO SCHOOL(NAGAVARA VILLAGE),"NAGAVARA VILLAGE KASABA HOBELLI BANGALORE ,560045",830541,,Secondary School,080 65409740
278,SRI CHAITANYA TECHNO SCHOOL,"Sri Chaitanya Techno School(Ramachandrapura,Vidyaranya pura)","#21/3,
Ramachandrapura,Vidyaranyapura,J alahalli post,Bangalore-13 ,560013",830728,,Secondary School,"080-
9243600264"
279,SRI CHAITANYA TECHNO SCHOOL,SRI CHAITANYA TECHNO SCHOOL(RAMAMURTHY NAGAR),"SEETHAPPA GARDEN HOUSE, T C PALYA MAIN ROAD, RAMAMURTHY NAGAR, RAGHAVENDRA CIRCLE, BANGALORE ,560016",830444,,Secondary School,080 65685615
280,SRI CHAITANYA TECHNO SCHOOL,SRI CHAITANYA TECHNO SCHOOL(SESHADRIPURAM),"SRINIVASA COMPLEX,I MAINROAD,SESHADRIPURAM, NEAR FORTIS HOSPITAL,BANGALORE
,560020",830534,,Senior Secondary,91 9663488997
281,SRI CHAITANYA TECHNO SCHOOL,Sri Chaitanya Techno School(West of Chord Road),"31/2, 6th main, 14th cross, West of Chord Road, 2nd Stage, 2nd Phase, Near Nagapura Circle, Mahalakshmipuram, Bengaluru
,560086",830846,,Secondary School,9353081436
282,SRI DEVARAJ URS INTERNATONAL RESIDENTIAL SCHOOL,SRI DEVARAJ URS INTERNATONAL RESIDENTIAL SCHOOL,"DHARAGAJOGI HALL KODIGAHALL POST DODDABALLAPURA BANGALORE RURAL DISTT KARNATAKA ,561203",830094,,Secondary School,080 27670521
283,Sri Jnana Gangotri International School,Sri Jnana Gangotri International School,"Cheemasandra Meian Road Virgonagar Post, Bangalore ,560049",830675,,Secondary School,"080
9901304487"
284,SRI JNANAKSHI VIDYA NIKETAN,SRI JNANAKSHI VIDYA NIKETAN,"SURVEY NO 248 HALAGEVADERSHALI KANGRI HOBLI SRI RAJ RAJESHWARI VIDYA NIKETAN, BANGALORE KARNATAKA ,560039",830103,,Secondary School,080 28604356
285,SRI K.K. EDUCATION CENTRE,SRI K.K. EDUCATION CENTRE,"No. 34/5, 19th K.M. Magadi Road, Kadabagere Cross, Bangalore-562 130. ,562130",830256,,Secondary School,"080 080-
22928776"
286,Sri Kumaran Children',Sri Kumaran Childrens Academy,"No 28/4, House List No 140 Doddakalasandra Uttarahalli Hobli Kanakapura Road, Bangalore, Karnataka-560062 ,560062",830601,,Secondary School,080 26321077
287,Sri Kumaran Children',Sri Kumaran Children's Home English Nursery and Primary School,"mallasandr village, uttarahalli hobli bengaluru south taluk bengale- 560062 ,560062",830047,,Secondary School,080 26080201
288,sri lakshmi public school,sri lakshmi public school,"127/5, magadi main road, srigandhada kaval, vishwaneedam post, sunkadakatte, bangale.
,560091",830327,,Senior Secondary,080 22729446
289,SRI MARUTHI PRIMARY AND HIGH SCHOOL,SRI MARUTHI PRIMARY AND HIGH SCHOOL,"MARUTHI NAGAR, KOTHANUR, J.P.NAGAR, VII PHASE, BANGALORE-78
,560078",830382,,Senior Secondary,"080-26850069
26545272"
290,SRI NIRVANASWAMY PUBLIC SCHOOL,SRI NIRVANASWAMY PUBLIC SCHOOL,"Sri Degula Math Campus, Kanakapura ,562117",830465,,Secondary School,080 27522460
291,Sri Rajarajeshwari Public School,Sri Rajarajeshwari Public School,"Heggunda, Nelamangala Taluk, Bangalore Rural District. ,542111",830528,,Secondary School,0816 2252385
292,SRI RAMA VIDYALAYA,SRI RAMA VIDYALAYA,"103/2 JAKKUR LAYOUT BANGALORE KARNATAKA
,560064",830101,,Secondary School,080 23637720
293,Sri Sarvajna Public School,Sri Sarvajna Public School,"#7 & 8, 14th cross, MC Layout, Vijaynagar ,560040",830760,,Secondary School,080 23354648
294,SRI SHARADA VIDYA NIKETANA,SRI SHARADA VIDYA NIKETANA,"SY NO. 15, IST MAIN, 8THCROSS, ISRO LAYOUT, BANGALORE 560 078 ,560078",830469,,Secondary School,080 26668563
295,SRI SIDDAGANGA HIGHER PRIMARY SCHOOL,SRI SIDDAGANGA HIGHER PRIMARY SCHOOL,"DCA SITE NO 1 IST STAGE II PHASE CHANDRA LAYOUT BANGALORE KARNATAKA
,580002",830147,,Senior Secondary,080 23397600
296,Sri Sri Ravishankar Vidya Mandir,"Sri Sri Ravishankar Vidya Mandir, Bangalore Ashram","No 269-270, B M Kavalu 21 km, Kanakapura Road Usayapura, Bangalore ,560082",830328,,Secondary School,080 65999951
297,Sri Sri Ravishankar Vidya Mandir,"Sri Sri Ravishankar Vidya Mandir, Bangalore North","CA site No 04, HMT, HBCS
Layout,Thindlu , Vidyaranyapura
,560097",830326,,Senior Secondary,080 23641305
298,Sri Sri Ravishankar Vidya Mandir,"Sri Sri Ravishankar Vidya Mandir,(Kachamaranahalli, Varthur)","28,29 Kachamaranahalli, Varthur Hobli, Off Sarjapur Ring Road
,560087",830320,,Secondary School,080 65835859
299,sri vidyalakshmi international public school,sri vidyalakshmi international public school,"no.14 ii main road bel layout anjananagar magadi main road
,560091",830506,,Secondary School,080 23486601
300,SRI VIDYAMANYA VIDYA KENDRA,SRI VIDYAMANYA VIDYA KENDRA,"1st cross, Vidyamanya nagar, Andrahalli main road, Vishwaneedam post, ,560091",830614,,Secondary School,080 23246188
301,SWAMY VIVEKANANDA CENTRAL SCHOOL,Sri Vivekananda Vidya Kendra,"Sri Ramakrishna Road, Sir M.Vishveshwaraiah Extension, Hoskote, Bangalore Rural Dist. – 562 114 ,562114",830680,,Secondary School,"080-27931115
080-27935065"
302,SRINIDHI PUBLIC SCHOOL,SRINIDHI PUBLIC SCHOOL,"# 20,21,22,""A M SRINIVAS GARDEN"",1st CROSS, 3rd MAIN, SRINIDHI LAYOUT, CHUNCHUGHATTA MAIN ROAD, NEW BANK COLONY,BANGALORE ,560062",830826,,Secondary School,080 - 26324343
303,SRIVANI EDUCATION CENTRE SCHOOL,SRIVANI EDUCATION CENTRE SCHOOL,"S NO 143 HANUMAVANA MACHOHALLI BAPAGRAM POST MASADI ROAD BANGALORE, KARNATAKA
,560091",830082,,Secondary School,080 23286998
304,SSVN Public School,SSVN Public School,"# 21, Pattareddy Palya, Kaggalipura, Kanakapura Main Road ,560082",830647,,Secondary School,080 28432283
305,St. Benedict's School,St. Benedict's School,"Asirvanam Monastery, Kumbalagodu Post, Bangalore South 560 074. ,560074",830357,,Secondary School,080 28437920
306,St. Josephs Indian Primary School,St. Josephs Indian Primary School,"No.23, Vittal Mallya Road,Bangalore ,560001",830735,,Senior Secondary,080 22226045
307,ST. XAVIERS SCHOOL,ST. XAVIERS SCHOOL,"BETTADASANAPURA, ELECTRONIC CITY POST, HOBLI ,560100",830704,,Secondary School,080 65300311
308,ST.PAUL'S SCHOOL,ST.PAUL'S SCHOOL,"#1, 2nd Main, B.D.A Layout, Pattegarapalya, Prashanthanagar, Bangalore ,560079",830560,,Secondary School,080 23288822
309,Sudarshan Vidya Mandir CBSE Academy,Sudarshan Vidya Mandir CBSE Academy,"No. 43/1 & 43/2, SAKALAVARA ROAD, OFF BANNERAGHATTA ROAD, LAKSHMIPURA VILLAGE,ANNEKAL TALUK,
,560083",830786,,Secondary School,8027837137
310,SUNRISE INTERNATIONAL RESIDENTIAL SCHOOL,SUNRISE INTERNATIONAL RESIDENTIAL SCHOOL,"LAKSHMINARAYANAPURA, HUSKUR POST, NEAR ELECTRONIC CITY, BEHIND APMC MARKET, ,560099",830304,,Secondary School,080 27848052
311,SVET SCHOOL,SVET SCHOOL,"#1, Giddenahalli yadavana Halli Post, Anekal Taluk, bangalore
,562107",830837,,Secondary School,8027859077
312,Swaminarayan International School,Swaminarayan International School,"PO Kumbalgodu, Kanimikike, Next To Pepsi Factory ,560074",830547,,Secondary School,080 32985000
313,SWAMY VIVEKANANDA CENTRAL SCHOOL,SWAMY VIVEKANANDA CENTRAL SCHOOL,"THALI MAIN ROAD,THELAGARAHALLI,VAN AKANAHALLI, ,562106",830708,,Secondary School,080 29785500
314,SWAMY VIVEKANANDA CENTRAL SCHOOL,Swamy Vivekananda VidyaNiketana School,"Attibele Industrial Area, Guddahatti Road, Neralur, Anekal Taluk,
,562107",830555,,Secondary School,080 27820777
315,TATTVA SCHOOL,TATTVA SCHOOL,"Survey No. 70/2, Hospalya, Kumbalgod P.O.,Mysore Road, Opp. Pepsi Factory, ,560074",830605,,Secondary School,080 33627052
316,The Amaatra Academy Lower Primary School,The Amaatra Academy Lower Primary School,"Off Sarjapur Road, Survey #45/3, Kasavanahalli Main Road, Haraluru, Bangalore 560 102.
,560102",830491,,Secondary School,080 65391555
317,THE BRIGADE SCHOOL,THE BRIGADE SCHOOL,"BRIGADE MILLENNIUM CAMPUS J P NAGAR 7TH PHASE BANGALORE KARNATAKA ,560078",830111,,Senior Secondary,080 41301390
318,THE BRIGADE SCHOOL,The Brigade School At Mahadevapura,"Plot No. 9, Sy. No. 35, Dyavasandra Industrial Estate, 1st Phase, Krishnarajapuram Hobli, Bangalore South Taluk, Bangalore ,560048",830709,,Secondary School,8041148397
319,THE BRIGADE SCHOOL,The Brigade School At Malleswaram,"No. 26/1, Ward No. 9A Rajajinagar Extension Malleswaram West
,560055",830692,,Senior Secondary,8041148397
320,THE DEEN'S ACADEMY,THE DEEN'S ACADEMY,"NO/ 64/1 & 65/2, E.C.C. ROAD, WHITE FIELD, BANGALORE - 560 066 ,560066",830274,,Secondary School,080 28454691
321,The Foundation School,The Foundation School,"Sy No. 153/4, Halasahalli- Thippasanda Village, Sarjapura Hobli, Anekal Taluk ,560087",830712,,Secondary School,8065594777
322,The Great Eastern International Public School,The Great Eastern International Public School,"No. 18, Lingadeeranahalli, Yeshwanthpur Hobli, Bangalore North Taluk. Karnataka. ,560090",830539,,Secondary School,080 23245266
323,The JHS School,The JHS School,"S.B.M. Colony,B.S.K.1st Stage,Bangalore-560050 ,560050",830410,,Secondary School,080 26696161
324,THE OXFORD SENIOR SECONDARY SCHOOL,THE OXFORD SENIOR SECONDARY SCHOOL,"I-PHASE J P NAGAR BANGALORE KARNATAKA
,560078",830028,,Secondary School,080 30410512
325,The Samhita Academy,The Samhita Academy,"Survey No. 52, Lakshmipura Village, (Off Bannerghatta Road), Jigani Hobli Anekal Taluk ,560083",830441,,Secondary School,080 46622466
326,THE SMART SCHOOL,THE SMART SCHOOL,"77/2,MACHOHALLI, DASANAPURAHOBLI, BAPAGRAM POST ,560091",830324,,Senior Secondary,080 29771515
327,Thyagaraju Central School,Thyagaraju Central School,"#30/1 A, Byramangala Cross,B M Road, Bidadi, Bangalore Rural Dist.
,562109",830191,,Secondary School,080 27304585
328,TREAMIS WORLD SCHOOL,TREAMIS WORLD SCHOOL,"NO.263/1, HULIMANGALA POST, JIGANI HOBLI, ANEKAL TQ, BANGALORE ,562106",830264,,Secondary School,"080
8027839651"
329,Vagdevi Vilas School,V S S INTERNATIONAL PUBLIC SCHOOL,"78, NAGADEVANAHALLI, MYSORE RING ROAD, BANGALORE ,560056",830187,,Secondary School,080 28485191
330,Vagdevi Vilas School,"VAGDEVI VILAS SCHOOL(
Chikkatirupathi Road, Varthur)","Sy. No. 218, Chikkatirupathi Road, Varthur, Bangalore. ,560087",830253,,Secondary School,080 65901900
331,Vagdevi Vilas School,Vagdevi Vilas School(Byramangala Villege),"Survey No. 55/S6, 55/7, & 54/3, Byramangala Villege, Bidadi Hobli, Ramanagaram Taluk, Bangalore Rural Distt. ,562109",830375,,Secondary School,080 27201039
332,Vagdevi Vilas School,"Vagdevi Vilas School(Dommasandra Road, Varthur)","No.218, Dommasandra Road, Varthur, Bangalore-77 ,560087",830848,,Secondary School,8028538205
333,VAGDEVI VILAS SCHOOL,VAGDEVI VILAS SCHOOL(MUNEKOLALU MARATHAHALLi),"SY NO 77/2 3B, 4&5 MUNELOLALU MARATHAHALLA PO BANGALORE KARNATAKA
,560037",830115,,Senior Secondary,080 28495850
334,VAHE GLOBAL ACADEMY,VAHE GLOBAL ACADEMY,"Sy No:33/1,Kachmarana Halli,Gunjur, Varthur, Bangalore.
,560087",830724,,Secondary School,9880215496
335,VENKAT INTERNATIONAL PUBLIC SCHOOL,VENKAT INTERNATIONAL PUB SCHOOL(5TH BLOCK RAJAJI NAGAR),"5TH BLOCK RAJAJI NAGAR BANGALORE KARNATAKA
,560010",830081,,Secondary School,080 23382572
336,VENKAT INTERNATIONAL PUBLIC SCHOOL,VENKAT INTERNATIONAL PUBLIC SCHOOL(KB TEMPLE STREET 6TH STREET RAJAJI NAGAR),"19/A/1913/2 KB TEMPLE STREET 6TH STREET RAJAJI NAGAR BANGALORE KARNATAKA ,560010",830154,,Senior Secondary,080 23152016
337,Vidya Sanskaar International Public School,Vidya Sanskaar International Public School,"Behind Pooja Hospital, Machohalli Gate, Magadi Main Road, ,560091",830474,,Secondary School,080 28536855
338,VIDYA VAHINI SCHOOL,VIDYA VAHINI SCHOOL,"SRIGANDHADAKOVAL NEAR HEALTH LAYOUT VISHWANEEDAM POST BANGALORE KARNATAKA
,560091",830136,,Secondary School,080 23483398
339,Vidya Vardhaka Sangha Gandhi Centenary English Primary School,Vidya Vardhaka Sangha Gandhi Centenary English Primary School,"FIRST BLOCK RAJAJINAGAR
,560010",830416,,Senior Secondary,080 23378717
340,VIDYANIKETAN PUBLIC SCHOOL,VIDYANIKETAN PUBLIC SCHOOL,"961 9TH CROSS 13TH MAIN ULLAL UPANAGARA BANGALORE KARNATAKA
,560050",830041,,Senior Secondary,080 23240364
341,VIDYANJALI ACADEMY FOR LEARNING,VIDYANJALI ACADEMY FOR LEARNING,"CHOLANAYAKANAHALLI, R.
T. NAGAR, BANGALORE, KARNATAKA ,560032",830238,,Secondary School,080 23544891
342,Vidyashree High School,Vidyashree High School,"Anjanagar, Magadi Main Raod, Bangalore. ,560091",830751,,Secondary School,80234185802
343,VIJAYA BHARATHI VIDYALAYA,VIJAYA BHARATHI VIDYALAYA,"# 570/A , 11TH A CROSS , 2ND PHASE ,560085",830775,,Secondary School,080-26720854
344,Vishwa Venkateswara International School,Vishwa Venkateswara International School,"# 72, Thirumala Garden ,560060",830685,,Secondary School,080 28486262
345,Vishwaprajnaa Academy,Vishwaprajnaa Academy,"Yalachaguppe, Tavarekere Hobli, Bangalore South Taluk,Bangalore.
,562130",830785,,Secondary School,8028536333
346,Vyasa International School,Vyasa International School,"Sy. No. 101/2, Kodigehalli Village, Yelahanka Hobli Bangalore North Taluk, Bangalore-94 ,560094",830316,,Secondary School,080 23454777
347,Vydehi School of Excellence,Vydehi School of Excellence,"82,EPIP Area, Vydehi Campus, Whitefield , Bangaluru- 560066
,560066",830527,,Secondary School,080 46636000
348,Whitefield Global School,Whitefield Global School,"KRS Garden, Channasandra Main Road, near Hope Farm, White field Bangalore- 560066 ,560066",830272,,Secondary School,080 28450000
349,YASHASVI VIDYANIKETHAN,YASHASVI VIDYANIKETHAN,"NO-1/2,BAGALUR-ROAD, KATTEGENAHALLI, BANGALORE-63 ,560063",830425,,Secondary School,080 32326330
350,Young Scholars Academy,Young Scholars Academy,"Vishwanatha Nagenahalli,NEAR CHURCH, R T Nagar Post, Bangalore-560032 ,560032",830569,,Secondary School,080 23658000
